CvA term name	CvA term id	apply to CvA children terms	CvB term name	CvB term id	apply to CvB children terms	"is CvA CvB instance combination expected (NO-error, YES-ok, MAYBE-weird)"
      antibody array 	MI:0678	FALSE	prey	MI:0498	FALSE	YES
      antibody array 	MI:0678	FALSE	putative self	MI:0898	FALSE	NO
      antibody array 	MI:0678	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      antibody array 	MI:0678	FALSE	self	MI:0503	FALSE	NO
      antibody array 	MI:0678	FALSE	suppressed gene	MI:0582	FALSE	NO
      antibody array 	MI:0678	FALSE	suppressor gene	MI:0581	FALSE	NO
      antibody array 	MI:0678	FALSE	unspecified role	MI:0499	FALSE	MAYBE
       sandwich immunoassay 	MI:0695	FALSE	experimental role	MI:0495	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	ancillary	MI:0684	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	bait	MI:0496	FALSE	YES
       sandwich immunoassay 	MI:0695	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	fluorescence donor	MI:0583	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	neutral component	MI:0497	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	prey	MI:0498	FALSE	YES
       sandwich immunoassay 	MI:0695	FALSE	putative self	MI:0898	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	self	MI:0503	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	suppressed gene	MI:0582	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	suppressor gene	MI:0581	FALSE	NO
       sandwich immunoassay 	MI:0695	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      chromatin immunoprecipitation array 	MI:0225	FALSE	experimental role	MI:0495	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	ancillary	MI:0684	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	bait	MI:0496	FALSE	YES
      chromatin immunoprecipitation array 	MI:0225	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	fluorescence donor	MI:0583	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	neutral component	MI:0497	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	prey	MI:0498	FALSE	YES
      chromatin immunoprecipitation array 	MI:0225	FALSE	putative self	MI:0898	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	self	MI:0503	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	suppressed gene	MI:0582	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	suppressor gene	MI:0581	FALSE	NO
      chromatin immunoprecipitation array 	MI:0225	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      peptide array 	MI:0081	FALSE	experimental role	MI:0495	FALSE	NO
      peptide array 	MI:0081	FALSE	ancillary	MI:0684	FALSE	NO
      peptide array 	MI:0081	FALSE	bait	MI:0496	FALSE	YES
      peptide array 	MI:0081	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      peptide array 	MI:0081	FALSE	fluorescence donor	MI:0583	FALSE	NO
      peptide array 	MI:0081	FALSE	neutral component	MI:0497	FALSE	NO
      peptide array 	MI:0081	FALSE	prey	MI:0498	FALSE	YES
      peptide array 	MI:0081	FALSE	putative self	MI:0898	FALSE	NO
      peptide array 	MI:0081	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      peptide array 	MI:0081	FALSE	self	MI:0503	FALSE	NO
      peptide array 	MI:0081	FALSE	suppressed gene	MI:0582	FALSE	NO
      peptide array 	MI:0081	FALSE	suppressor gene	MI:0581	FALSE	NO
      peptide array 	MI:0081	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      protein array 	MI:0089	FALSE	experimental role	MI:0495	FALSE	NO
      protein array 	MI:0089	FALSE	ancillary	MI:0684	FALSE	NO
      protein array 	MI:0089	FALSE	bait	MI:0496	FALSE	YES
      protein array 	MI:0089	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      protein array 	MI:0089	FALSE	fluorescence donor	MI:0583	FALSE	NO
      protein array 	MI:0089	FALSE	neutral component	MI:0497	FALSE	NO
      protein array 	MI:0089	FALSE	prey	MI:0498	FALSE	YES
      protein array 	MI:0089	FALSE	putative self	MI:0898	FALSE	NO
      protein array 	MI:0089	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      protein array 	MI:0089	FALSE	self	MI:0503	FALSE	NO
      protein array 	MI:0089	FALSE	suppressed gene	MI:0582	FALSE	NO
      protein array 	MI:0089	FALSE	suppressor gene	MI:0581	FALSE	NO
      protein array 	MI:0089	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      protein in situ array 	MI:0092	FALSE	experimental role	MI:0495	FALSE	NO
      protein in situ array 	MI:0092	FALSE	ancillary	MI:0684	FALSE	NO
      protein in situ array 	MI:0092	FALSE	bait	MI:0496	FALSE	YES
      protein in situ array 	MI:0092	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      protein in situ array 	MI:0092	FALSE	fluorescence donor	MI:0583	FALSE	NO
      protein in situ array 	MI:0092	FALSE	neutral component	MI:0497	FALSE	NO
      protein in situ array 	MI:0092	FALSE	prey	MI:0498	FALSE	YES
      protein in situ array 	MI:0092	FALSE	putative self	MI:0898	FALSE	NO
      protein in situ array 	MI:0092	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      protein in situ array 	MI:0092	FALSE	self	MI:0503	FALSE	NO
      protein in situ array 	MI:0092	FALSE	suppressed gene	MI:0582	FALSE	NO
      protein in situ array 	MI:0092	FALSE	suppressor gene	MI:0581	FALSE	NO
      protein in situ array 	MI:0092	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	experimental role	MI:0495	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	ancillary	MI:0684	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	bait	MI:0496	FALSE	YES
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	fluorescence donor	MI:0583	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	neutral component	MI:0497	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	prey	MI:0498	FALSE	YES
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	putative self	MI:0898	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	self	MI:0503	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	suppressed gene	MI:0582	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	suppressor gene	MI:0581	FALSE	NO
      proteinchip(r) on a surface-enhanced laser desorption/ionization 	MI:0095	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      surface plasmon resonance array 	MI:0921	FALSE	experimental role	MI:0495	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	ancillary	MI:0684	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	bait	MI:0496	FALSE	YES	?
      surface plasmon resonance array 	MI:0921	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	fluorescence donor	MI:0583	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	neutral component	MI:0497	FALSE	YES	?
      surface plasmon resonance array 	MI:0921	FALSE	prey	MI:0498	FALSE	YES	?
      surface plasmon resonance array 	MI:0921	FALSE	putative self	MI:0898	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	self	MI:0503	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	suppressed gene	MI:0582	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	suppressor gene	MI:0581	FALSE	NO
      surface plasmon resonance array 	MI:0921	FALSE	unspecified role	MI:0499	FALSE	MAYBE
     chromatin immunoprecipitation assays 	MI:0402	FALSE	experimental role	MI:0495	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	ancillary	MI:0684	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	bait	MI:0496	FALSE	YES
     chromatin immunoprecipitation assays 	MI:0402	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	fluorescence donor	MI:0583	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	neutral component	MI:0497	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	prey	MI:0498	FALSE	YES
